"Label (Grouping)","Total:","Total:!!Black or African American alone"
"Census Tract 1421; Oakland County; Michigan","",""
"    Estimate","1,669","795"
"Census Tract 1422; Oakland County; Michigan","",""
"    Estimate","3,171","2,624"
"Census Tract 1423; Oakland County; Michigan","",""
"    Estimate","2,628","1,163"
"Census Tract 1424; Oakland County; Michigan","",""
"    Estimate","3,776","3,078"
"Census Tract 1425; Oakland County; Michigan","",""
"    Estimate","2,520","1,423"
"Census Tract 1426; Oakland County; Michigan","",""
"    Estimate","3,291","609"
"Census Tract 1427; Oakland County; Michigan","",""
"    Estimate","4,125","3,003"
"Census Tract 1435; Oakland County; Michigan","",""
"    Estimate","5,835","26"
"Census Tract 1441; Oakland County; Michigan","",""
"    Estimate","3,901","64"
"Census Tract 1442; Oakland County; Michigan","",""
"    Estimate","4,133","57"
"Census Tract 1443.01; Oakland County; Michigan","",""
"    Estimate","3,535","100"
"Census Tract 1444; Oakland County; Michigan","",""
"    Estimate","4,562","121"
"Census Tract 1445; Oakland County; Michigan","",""
"    Estimate","3,178","75"
"Census Tract 1446; Oakland County; Michigan","",""
"    Estimate","3,364","109"
"Census Tract 1447.01; Oakland County; Michigan","",""
"    Estimate","3,638","489"
"Census Tract 1448; Oakland County; Michigan","",""
"    Estimate","2,705","133"
"Census Tract 1449; Oakland County; Michigan","",""
"    Estimate","4,076","620"
"Census Tract 1451; Oakland County; Michigan","",""
"    Estimate","2,219","28"
"Census Tract 1452; Oakland County; Michigan","",""
"    Estimate","3,712","203"
"Census Tract 1453; Oakland County; Michigan","",""
"    Estimate","4,124","88"
"Census Tract 1454; Oakland County; Michigan","",""
"    Estimate","4,380","598"
"Census Tract 1455.01; Oakland County; Michigan","",""
"    Estimate","3,108","292"
"Census Tract 1455.02; Oakland County; Michigan","",""
"    Estimate","4,004","139"
"Census Tract 1456; Oakland County; Michigan","",""
"    Estimate","4,421","200"
"Census Tract 1457; Oakland County; Michigan","",""
"    Estimate","2,837","150"
"Census Tract 1459; Oakland County; Michigan","",""
"    Estimate","2,693","723"
"Census Tract 1500; Oakland County; Michigan","",""
"    Estimate","5,583","290"
"Census Tract 1501; Oakland County; Michigan","",""
"    Estimate","3,628","843"
"Census Tract 1502; Oakland County; Michigan","",""
"    Estimate","2,623","75"
"Census Tract 1503; Oakland County; Michigan","",""
"    Estimate","5,399","122"
"Census Tract 1504; Oakland County; Michigan","",""
"    Estimate","2,596","66"
"Census Tract 1505; Oakland County; Michigan","",""
"    Estimate","2,951","118"
"Census Tract 1506; Oakland County; Michigan","",""
"    Estimate","2,959","199"
"Census Tract 1507; Oakland County; Michigan","",""
"    Estimate","4,701","116"
"Census Tract 1508; Oakland County; Michigan","",""
"    Estimate","4,208","170"
"Census Tract 1509; Oakland County; Michigan","",""
"    Estimate","3,902","210"
"Census Tract 1510; Oakland County; Michigan","",""
"    Estimate","5,412","83"
"Census Tract 1520; Oakland County; Michigan","",""
"    Estimate","4,412","169"
"Census Tract 1526; Oakland County; Michigan","",""
"    Estimate","3,975","0"
"Census Tract 1527; Oakland County; Michigan","",""
"    Estimate","3,024","137"
"Census Tract 1529; Oakland County; Michigan","",""
"    Estimate","4,999","453"
"Census Tract 1530; Oakland County; Michigan","",""
"    Estimate","1,941","92"
"Census Tract 1531; Oakland County; Michigan","",""
"    Estimate","2,235","65"
"Census Tract 1532; Oakland County; Michigan","",""
"    Estimate","1,782","18"
"Census Tract 1533; Oakland County; Michigan","",""
"    Estimate","3,667","27"
"Census Tract 1540; Oakland County; Michigan","",""
"    Estimate","1,672","41"
"Census Tract 1541; Oakland County; Michigan","",""
"    Estimate","2,728","135"
"Census Tract 1542; Oakland County; Michigan","",""
"    Estimate","2,747","189"
"Census Tract 1545; Oakland County; Michigan","",""
"    Estimate","2,298","124"
"Census Tract 1546; Oakland County; Michigan","",""
"    Estimate","2,811","166"
"Census Tract 1560; Oakland County; Michigan","",""
"    Estimate","2,371","190"
"Census Tract 1561; Oakland County; Michigan","",""
"    Estimate","4,315","571"
"Census Tract 1562; Oakland County; Michigan","",""
"    Estimate","6,946","402"
"Census Tract 1563; Oakland County; Michigan","",""
"    Estimate","3,800","342"
"Census Tract 1564; Oakland County; Michigan","",""
"    Estimate","4,144","335"
"Census Tract 1565; Oakland County; Michigan","",""
"    Estimate","4,221","657"
"Census Tract 1569; Oakland County; Michigan","",""
"    Estimate","3,010","643"
"Census Tract 1570; Oakland County; Michigan","",""
"    Estimate","2,253","154"
"Census Tract 1571; Oakland County; Michigan","",""
"    Estimate","1,984","412"
"Census Tract 1572; Oakland County; Michigan","",""
"    Estimate","4,110","945"
"Census Tract 1573; Oakland County; Michigan","",""
"    Estimate","3,425","674"
"Census Tract 1574; Oakland County; Michigan","",""
"    Estimate","2,638","321"
"Census Tract 1575; Oakland County; Michigan","",""
"    Estimate","2,704","493"
"Census Tract 1576; Oakland County; Michigan","",""
"    Estimate","4,767","941"
"Census Tract 1577; Oakland County; Michigan","",""
"    Estimate","2,688","308"
"Census Tract 1578; Oakland County; Michigan","",""
"    Estimate","3,643","1,191"
"Census Tract 1579; Oakland County; Michigan","",""
"    Estimate","3,069","478"
"Census Tract 1580; Oakland County; Michigan","",""
"    Estimate","3,842","200"
"Census Tract 1581; Oakland County; Michigan","",""
"    Estimate","3,150","331"
"Census Tract 1582; Oakland County; Michigan","",""
"    Estimate","3,515","194"
"Census Tract 1590; Oakland County; Michigan","",""
"    Estimate","4,262","467"
"Census Tract 1600; Oakland County; Michigan","",""
"    Estimate","4,049","2,597"
"Census Tract 1603; Oakland County; Michigan","",""
"    Estimate","3,199","1,811"
"Census Tract 1604; Oakland County; Michigan","",""
"    Estimate","3,166","2,683"
"Census Tract 1605; Oakland County; Michigan","",""
"    Estimate","4,155","1,905"
"Census Tract 1606; Oakland County; Michigan","",""
"    Estimate","4,919","2,072"
"Census Tract 1607; Oakland County; Michigan","",""
"    Estimate","1,366","914"
"Census Tract 1608; Oakland County; Michigan","",""
"    Estimate","4,016","2,480"
"Census Tract 1609; Oakland County; Michigan","",""
"    Estimate","4,981","3,184"
"Census Tract 1610; Oakland County; Michigan","",""
"    Estimate","2,247","1,652"
"Census Tract 1611; Oakland County; Michigan","",""
"    Estimate","3,809","2,247"
"Census Tract 1612; Oakland County; Michigan","",""
"    Estimate","4,435","3,211"
"Census Tract 1613; Oakland County; Michigan","",""
"    Estimate","4,030","2,455"
"Census Tract 1614; Oakland County; Michigan","",""
"    Estimate","3,690","1,484"
"Census Tract 1615; Oakland County; Michigan","",""
"    Estimate","2,015","1,432"
"Census Tract 1616; Oakland County; Michigan","",""
"    Estimate","2,468","1,604"
"Census Tract 1617; Oakland County; Michigan","",""
"    Estimate","2,910","2,047"
"Census Tract 1618; Oakland County; Michigan","",""
"    Estimate","4,006","2,939"
"Census Tract 1619; Oakland County; Michigan","",""
"    Estimate","2,284","1,279"
"Census Tract 1620; Oakland County; Michigan","",""
"    Estimate","4,274","2,245"
"Census Tract 1621; Oakland County; Michigan","",""
"    Estimate","3,582","3,274"
"Census Tract 1622; Oakland County; Michigan","",""
"    Estimate","1,202","1,171"
"Census Tract 1623; Oakland County; Michigan","",""
"    Estimate","3,880","3,150"
"Census Tract 1624; Oakland County; Michigan","",""
"    Estimate","2,054","1,058"
"Census Tract 1625; Oakland County; Michigan","",""
"    Estimate","3,337","2,266"
"Census Tract 1650; Oakland County; Michigan","",""
"    Estimate","3,141","138"
"Census Tract 1651; Oakland County; Michigan","",""
"    Estimate","4,339","334"
"Census Tract 1652; Oakland County; Michigan","",""
"    Estimate","3,992","489"
"Census Tract 1660; Oakland County; Michigan","",""
"    Estimate","2,434","584"
"Census Tract 1661; Oakland County; Michigan","",""
"    Estimate","3,160","1,061"
"Census Tract 1662; Oakland County; Michigan","",""
"    Estimate","3,145","83"
"Census Tract 1664; Oakland County; Michigan","",""
"    Estimate","3,734","650"
"Census Tract 1665; Oakland County; Michigan","",""
"    Estimate","3,223","607"
"Census Tract 1666; Oakland County; Michigan","",""
"    Estimate","3,255","916"
"Census Tract 1667; Oakland County; Michigan","",""
"    Estimate","2,807","635"
"Census Tract 1668; Oakland County; Michigan","",""
"    Estimate","3,388","933"
"Census Tract 1669; Oakland County; Michigan","",""
"    Estimate","3,501","505"
"Census Tract 1670; Oakland County; Michigan","",""
"    Estimate","5,519","538"
"Census Tract 1673; Oakland County; Michigan","",""
"    Estimate","3,710","1,024"
"Census Tract 1674; Oakland County; Michigan","",""
"    Estimate","5,077","912"
"Census Tract 1675; Oakland County; Michigan","",""
"    Estimate","5,973","539"
"Census Tract 1678; Oakland County; Michigan","",""
"    Estimate","4,258","470"
"Census Tract 1679; Oakland County; Michigan","",""
"    Estimate","3,112","886"
"Census Tract 1681; Oakland County; Michigan","",""
"    Estimate","2,460","397"
"Census Tract 1684; Oakland County; Michigan","",""
"    Estimate","3,602","508"
"Census Tract 1685; Oakland County; Michigan","",""
"    Estimate","2,909","557"
"Census Tract 1686.01; Oakland County; Michigan","",""
"    Estimate","2,836","474"
"Census Tract 1686.02; Oakland County; Michigan","",""
"    Estimate","3,883","789"
"Census Tract 1687; Oakland County; Michigan","",""
"    Estimate","3,729","798"
"Census Tract 1688; Oakland County; Michigan","",""
"    Estimate","2,324","224"
"Census Tract 1689.01; Oakland County; Michigan","",""
"    Estimate","3,279","448"
"Census Tract 1689.02; Oakland County; Michigan","",""
"    Estimate","1,998","601"
"Census Tract 1700; Oakland County; Michigan","",""
"    Estimate","2,604","114"
"Census Tract 1701; Oakland County; Michigan","",""
"    Estimate","2,670","11"
"Census Tract 1702; Oakland County; Michigan","",""
"    Estimate","3,375","49"
"Census Tract 1703; Oakland County; Michigan","",""
"    Estimate","2,757","40"
"Census Tract 1704; Oakland County; Michigan","",""
"    Estimate","3,678","85"
"Census Tract 1710; Oakland County; Michigan","",""
"    Estimate","5,367","1,298"
"Census Tract 1711; Oakland County; Michigan","",""
"    Estimate","3,853","1,503"
"Census Tract 1712; Oakland County; Michigan","",""
"    Estimate","2,136","546"
"Census Tract 1713; Oakland County; Michigan","",""
"    Estimate","2,905","2,106"
"Census Tract 1714; Oakland County; Michigan","",""
"    Estimate","6,107","3,640"
"Census Tract 1715; Oakland County; Michigan","",""
"    Estimate","4,797","4,374"
"Census Tract 1716; Oakland County; Michigan","",""
"    Estimate","2,208","1,167"
"Census Tract 1724; Oakland County; Michigan","",""
"    Estimate","1,997","987"
"Census Tract 1725; Oakland County; Michigan","",""
"    Estimate","2,346","2,245"
"Census Tract 1730; Oakland County; Michigan","",""
"    Estimate","4,177","370"
"Census Tract 1731; Oakland County; Michigan","",""
"    Estimate","1,748","142"
"Census Tract 1732; Oakland County; Michigan","",""
"    Estimate","2,850","62"
"Census Tract 1733; Oakland County; Michigan","",""
"    Estimate","1,508","124"
"Census Tract 1734; Oakland County; Michigan","",""
"    Estimate","5,153","152"
"Census Tract 1735; Oakland County; Michigan","",""
"    Estimate","2,256","139"
"Census Tract 1736; Oakland County; Michigan","",""
"    Estimate","1,464","83"
"Census Tract 1750; Oakland County; Michigan","",""
"    Estimate","2,664","186"
"Census Tract 1751; Oakland County; Michigan","",""
"    Estimate","4,411","297"
"Census Tract 1752; Oakland County; Michigan","",""
"    Estimate","3,657","539"
"Census Tract 1753; Oakland County; Michigan","",""
"    Estimate","4,213","510"
"Census Tract 1800; Oakland County; Michigan","",""
"    Estimate","2,526","0"
"Census Tract 1801; Oakland County; Michigan","",""
"    Estimate","2,734","52"
"Census Tract 1802; Oakland County; Michigan","",""
"    Estimate","3,475","238"
"Census Tract 1803; Oakland County; Michigan","",""
"    Estimate","2,579","98"
"Census Tract 1810.01; Oakland County; Michigan","",""
"    Estimate","3,738","1,375"
"Census Tract 1811; Oakland County; Michigan","",""
"    Estimate","2,908","85"
"Census Tract 1812; Oakland County; Michigan","",""
"    Estimate","6,020","151"
"Census Tract 1813; Oakland County; Michigan","",""
"    Estimate","6,135","186"
"Census Tract 1814; Oakland County; Michigan","",""
"    Estimate","2,730","15"
"Census Tract 1815; Oakland County; Michigan","",""
"    Estimate","2,218","17"
"Census Tract 1816; Oakland County; Michigan","",""
"    Estimate","4,662","286"
"Census Tract 1830; Oakland County; Michigan","",""
"    Estimate","3,809","105"
"Census Tract 1831; Oakland County; Michigan","",""
"    Estimate","4,452","137"
"Census Tract 1832; Oakland County; Michigan","",""
"    Estimate","3,488","223"
"Census Tract 1833; Oakland County; Michigan","",""
"    Estimate","3,017","127"
"Census Tract 1834; Oakland County; Michigan","",""
"    Estimate","2,422","234"
"Census Tract 1835; Oakland County; Michigan","",""
"    Estimate","2,262","1,046"
"Census Tract 1836; Oakland County; Michigan","",""
"    Estimate","4,007","243"
"Census Tract 1837; Oakland County; Michigan","",""
"    Estimate","5,237","240"
"Census Tract 1838; Oakland County; Michigan","",""
"    Estimate","4,494","395"
"Census Tract 1839; Oakland County; Michigan","",""
"    Estimate","2,368","24"
"Census Tract 1840; Oakland County; Michigan","",""
"    Estimate","2,714","0"
"Census Tract 1841; Oakland County; Michigan","",""
"    Estimate","2,878","44"
"Census Tract 1842; Oakland County; Michigan","",""
"    Estimate","4,152","315"
"Census Tract 1843; Oakland County; Michigan","",""
"    Estimate","2,906","53"
"Census Tract 1844; Oakland County; Michigan","",""
"    Estimate","2,671","235"
"Census Tract 1845; Oakland County; Michigan","",""
"    Estimate","2,341","31"
"Census Tract 1846; Oakland County; Michigan","",""
"    Estimate","3,037","68"
"Census Tract 1847; Oakland County; Michigan","",""
"    Estimate","1,625","109"
"Census Tract 1870; Oakland County; Michigan","",""
"    Estimate","2,607","29"
"Census Tract 1880.01; Oakland County; Michigan","",""
"    Estimate","3,779","24"
"Census Tract 1881; Oakland County; Michigan","",""
"    Estimate","2,543","41"
"Census Tract 1902; Oakland County; Michigan","",""
"    Estimate","4,820","18"
"Census Tract 1904; Oakland County; Michigan","",""
"    Estimate","3,954","0"
"Census Tract 1905; Oakland County; Michigan","",""
"    Estimate","2,660","66"
"Census Tract 1907; Oakland County; Michigan","",""
"    Estimate","5,314","228"
"Census Tract 1908; Oakland County; Michigan","",""
"    Estimate","3,351","43"
"Census Tract 1910; Oakland County; Michigan","",""
"    Estimate","1,654","9"
"Census Tract 1911; Oakland County; Michigan","",""
"    Estimate","2,663","244"
"Census Tract 1912; Oakland County; Michigan","",""
"    Estimate","4,709","16"
"Census Tract 1913; Oakland County; Michigan","",""
"    Estimate","3,913","0"
"Census Tract 1920; Oakland County; Michigan","",""
"    Estimate","5,882","13"
"Census Tract 1922; Oakland County; Michigan","",""
"    Estimate","6,144","127"
"Census Tract 1924; Oakland County; Michigan","",""
"    Estimate","4,963","95"
"Census Tract 1925; Oakland County; Michigan","",""
"    Estimate","2,978","42"
"Census Tract 1927; Oakland County; Michigan","",""
"    Estimate","3,133","4"
"Census Tract 1930; Oakland County; Michigan","",""
"    Estimate","4,019","274"
"Census Tract 1931; Oakland County; Michigan","",""
"    Estimate","3,808","24"
"Census Tract 1933; Oakland County; Michigan","",""
"    Estimate","4,654","292"
"Census Tract 1934; Oakland County; Michigan","",""
"    Estimate","4,421","175"
"Census Tract 1935; Oakland County; Michigan","",""
"    Estimate","3,583","243"
"Census Tract 1936; Oakland County; Michigan","",""
"    Estimate","2,936","0"
"Census Tract 1937; Oakland County; Michigan","",""
"    Estimate","4,230","92"
"Census Tract 1940; Oakland County; Michigan","",""
"    Estimate","5,992","538"
"Census Tract 1941; Oakland County; Michigan","",""
"    Estimate","2,754","0"
"Census Tract 1942; Oakland County; Michigan","",""
"    Estimate","2,166","35"
"Census Tract 1943; Oakland County; Michigan","",""
"    Estimate","4,147","87"
"Census Tract 1944; Oakland County; Michigan","",""
"    Estimate","3,897","220"
"Census Tract 1945; Oakland County; Michigan","",""
"    Estimate","1,278","61"
"Census Tract 1946; Oakland County; Michigan","",""
"    Estimate","4,692","159"
"Census Tract 1960; Oakland County; Michigan","",""
"    Estimate","6,586","48"
"Census Tract 1961; Oakland County; Michigan","",""
"    Estimate","6,905","672"
"Census Tract 1962; Oakland County; Michigan","",""
"    Estimate","3,960","158"
"Census Tract 1963; Oakland County; Michigan","",""
"    Estimate","4,010","137"
"Census Tract 1964; Oakland County; Michigan","",""
"    Estimate","3,525","1"
"Census Tract 1965; Oakland County; Michigan","",""
"    Estimate","5,915","129"
"Census Tract 1966; Oakland County; Michigan","",""
"    Estimate","2,506","46"
"Census Tract 1967; Oakland County; Michigan","",""
"    Estimate","2,590","58"
"Census Tract 1968; Oakland County; Michigan","",""
"    Estimate","4,465","52"
"Census Tract 1969; Oakland County; Michigan","",""
"    Estimate","3,954","138"
"Census Tract 1970; Oakland County; Michigan","",""
"    Estimate","5,217","82"
"Census Tract 1971; Oakland County; Michigan","",""
"    Estimate","3,499","93"
"Census Tract 1972; Oakland County; Michigan","",""
"    Estimate","3,286","36"
"Census Tract 1973; Oakland County; Michigan","",""
"    Estimate","5,145","104"
"Census Tract 1974; Oakland County; Michigan","",""
"    Estimate","2,078","74"
"Census Tract 1975; Oakland County; Michigan","",""
"    Estimate","3,518","318"
"Census Tract 1976; Oakland County; Michigan","",""
"    Estimate","1,775","183"
"Census Tract 1977.01; Oakland County; Michigan","",""
"    Estimate","5,616","404"
"Census Tract 1977.02; Oakland County; Michigan","",""
"    Estimate","1,961","197"
"Census Tract 1979; Oakland County; Michigan","",""
"    Estimate","3,800","249"
"Census Tract 1980; Oakland County; Michigan","",""
"    Estimate","4,442","217"
"Census Tract 1981; Oakland County; Michigan","",""
"    Estimate","2,554","183"
"Census Tract 9810; Oakland County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9811; Oakland County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9812; Oakland County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9813; Oakland County; Michigan","",""
"    Estimate","1,044","341"
"Census Tract 9814; Oakland County; Michigan","",""
"    Estimate","32","11"
"Census Tract 9815; Oakland County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9816; Oakland County; Michigan","",""
"    Estimate","0","0"
"Census Tract 5001; Wayne County; Michigan","",""
"    Estimate","4,042","3,808"
"Census Tract 5002; Wayne County; Michigan","",""
"    Estimate","2,510","2,328"
"Census Tract 5003; Wayne County; Michigan","",""
"    Estimate","1,947","1,774"
"Census Tract 5004; Wayne County; Michigan","",""
"    Estimate","1,041","1,007"
"Census Tract 5005; Wayne County; Michigan","",""
"    Estimate","1,165","1,061"
"Census Tract 5006; Wayne County; Michigan","",""
"    Estimate","2,811","2,628"
"Census Tract 5007; Wayne County; Michigan","",""
"    Estimate","4,284","3,852"
"Census Tract 5008; Wayne County; Michigan","",""
"    Estimate","2,287","2,158"
"Census Tract 5009; Wayne County; Michigan","",""
"    Estimate","3,771","3,592"
"Census Tract 5010; Wayne County; Michigan","",""
"    Estimate","2,933","2,895"
"Census Tract 5011; Wayne County; Michigan","",""
"    Estimate","2,886","2,775"
"Census Tract 5012; Wayne County; Michigan","",""
"    Estimate","1,639","1,604"
"Census Tract 5013; Wayne County; Michigan","",""
"    Estimate","3,746","3,377"
"Census Tract 5014; Wayne County; Michigan","",""
"    Estimate","3,365","2,512"
"Census Tract 5015; Wayne County; Michigan","",""
"    Estimate","4,168","3,603"
"Census Tract 5016; Wayne County; Michigan","",""
"    Estimate","1,974","1,629"
"Census Tract 5017; Wayne County; Michigan","",""
"    Estimate","1,702","1,269"
"Census Tract 5018; Wayne County; Michigan","",""
"    Estimate","4,914","3,570"
"Census Tract 5019; Wayne County; Michigan","",""
"    Estimate","2,899","2,613"
"Census Tract 5020; Wayne County; Michigan","",""
"    Estimate","1,978","1,884"
"Census Tract 5026; Wayne County; Michigan","",""
"    Estimate","3,247","3,168"
"Census Tract 5027; Wayne County; Michigan","",""
"    Estimate","2,291","2,256"
"Census Tract 5031; Wayne County; Michigan","",""
"    Estimate","2,783","2,570"
"Census Tract 5032; Wayne County; Michigan","",""
"    Estimate","2,663","2,258"
"Census Tract 5033; Wayne County; Michigan","",""
"    Estimate","3,077","2,971"
"Census Tract 5034; Wayne County; Michigan","",""
"    Estimate","832","684"
"Census Tract 5035; Wayne County; Michigan","",""
"    Estimate","1,878","1,727"
"Census Tract 5036; Wayne County; Michigan","",""
"    Estimate","1,410","1,339"
"Census Tract 5039; Wayne County; Michigan","",""
"    Estimate","1,795","1,695"
"Census Tract 5040; Wayne County; Michigan","",""
"    Estimate","1,024","850"
"Census Tract 5041; Wayne County; Michigan","",""
"    Estimate","1,209","1,200"
"Census Tract 5042; Wayne County; Michigan","",""
"    Estimate","1,639","1,595"
"Census Tract 5043; Wayne County; Michigan","",""
"    Estimate","2,053","1,987"
"Census Tract 5044; Wayne County; Michigan","",""
"    Estimate","1,699","1,675"
"Census Tract 5051; Wayne County; Michigan","",""
"    Estimate","2,446","2,281"
"Census Tract 5052; Wayne County; Michigan","",""
"    Estimate","3,188","2,918"
"Census Tract 5054; Wayne County; Michigan","",""
"    Estimate","2,183","2,170"
"Census Tract 5056; Wayne County; Michigan","",""
"    Estimate","4,458","4,359"
"Census Tract 5057; Wayne County; Michigan","",""
"    Estimate","3,164","2,863"
"Census Tract 5058; Wayne County; Michigan","",""
"    Estimate","3,340","1,275"
"Census Tract 5061; Wayne County; Michigan","",""
"    Estimate","1,905","1,793"
"Census Tract 5062; Wayne County; Michigan","",""
"    Estimate","2,364","2,086"
"Census Tract 5063; Wayne County; Michigan","",""
"    Estimate","1,717","1,581"
"Census Tract 5064; Wayne County; Michigan","",""
"    Estimate","1,253","1,179"
"Census Tract 5065; Wayne County; Michigan","",""
"    Estimate","1,955","1,769"
"Census Tract 5066; Wayne County; Michigan","",""
"    Estimate","2,547","2,372"
"Census Tract 5067; Wayne County; Michigan","",""
"    Estimate","1,267","1,238"
"Census Tract 5068; Wayne County; Michigan","",""
"    Estimate","4,230","3,989"
"Census Tract 5069; Wayne County; Michigan","",""
"    Estimate","3,711","3,612"
"Census Tract 5070; Wayne County; Michigan","",""
"    Estimate","2,769","2,513"
"Census Tract 5071; Wayne County; Michigan","",""
"    Estimate","1,455","1,386"
"Census Tract 5072; Wayne County; Michigan","",""
"    Estimate","1,327","1,202"
"Census Tract 5073; Wayne County; Michigan","",""
"    Estimate","2,100","1,901"
"Census Tract 5074; Wayne County; Michigan","",""
"    Estimate","2,713","2,660"
"Census Tract 5075; Wayne County; Michigan","",""
"    Estimate","2,206","2,123"
"Census Tract 5080; Wayne County; Michigan","",""
"    Estimate","1,079","784"
"Census Tract 5081; Wayne County; Michigan","",""
"    Estimate","1,398","1,018"
"Census Tract 5090; Wayne County; Michigan","",""
"    Estimate","1,655","1,236"
"Census Tract 5091; Wayne County; Michigan","",""
"    Estimate","4,317","776"
"Census Tract 5106; Wayne County; Michigan","",""
"    Estimate","4,964","1,017"
"Census Tract 5112; Wayne County; Michigan","",""
"    Estimate","1,336","924"
"Census Tract 5113; Wayne County; Michigan","",""
"    Estimate","2,439","967"
"Census Tract 5114; Wayne County; Michigan","",""
"    Estimate","1,943","1,332"
"Census Tract 5119; Wayne County; Michigan","",""
"    Estimate","1,071","687"
"Census Tract 5128; Wayne County; Michigan","",""
"    Estimate","2,156","1,939"
"Census Tract 5132; Wayne County; Michigan","",""
"    Estimate","1,524","1,175"
"Census Tract 5133; Wayne County; Michigan","",""
"    Estimate","2,070","1,536"
"Census Tract 5137; Wayne County; Michigan","",""
"    Estimate","3,297","3,112"
"Census Tract 5138; Wayne County; Michigan","",""
"    Estimate","2,326","1,961"
"Census Tract 5139; Wayne County; Michigan","",""
"    Estimate","1,400","1,286"
"Census Tract 5141; Wayne County; Michigan","",""
"    Estimate","1,961","1,730"
"Census Tract 5142; Wayne County; Michigan","",""
"    Estimate","1,796","1,658"
"Census Tract 5143; Wayne County; Michigan","",""
"    Estimate","2,483","2,362"
"Census Tract 5145; Wayne County; Michigan","",""
"    Estimate","671","630"
"Census Tract 5152; Wayne County; Michigan","",""
"    Estimate","1,461","1,186"
"Census Tract 5153; Wayne County; Michigan","",""
"    Estimate","3,374","2,344"
"Census Tract 5154; Wayne County; Michigan","",""
"    Estimate","1,348","355"
"Census Tract 5157; Wayne County; Michigan","",""
"    Estimate","3,078","2,494"
"Census Tract 5160; Wayne County; Michigan","",""
"    Estimate","2,593","2,132"
"Census Tract 5164; Wayne County; Michigan","",""
"    Estimate","859","574"
"Census Tract 5165; Wayne County; Michigan","",""
"    Estimate","2,364","1,227"
"Census Tract 5166; Wayne County; Michigan","",""
"    Estimate","1,901","1,748"
"Census Tract 5167; Wayne County; Michigan","",""
"    Estimate","3,177","3,142"
"Census Tract 5168; Wayne County; Michigan","",""
"    Estimate","818","610"
"Census Tract 5169; Wayne County; Michigan","",""
"    Estimate","1,958","1,671"
"Census Tract 5170; Wayne County; Michigan","",""
"    Estimate","2,984","1,271"
"Census Tract 5171; Wayne County; Michigan","",""
"    Estimate","1,173","754"
"Census Tract 5172; Wayne County; Michigan","",""
"    Estimate","2,379","1,170"
"Census Tract 5173; Wayne County; Michigan","",""
"    Estimate","2,408","1,463"
"Census Tract 5175; Wayne County; Michigan","",""
"    Estimate","2,783","1,878"
"Census Tract 5180; Wayne County; Michigan","",""
"    Estimate","2,429","1,203"
"Census Tract 5189; Wayne County; Michigan","",""
"    Estimate","1,869","1,769"
"Census Tract 5190; Wayne County; Michigan","",""
"    Estimate","966","747"
"Census Tract 5191; Wayne County; Michigan","",""
"    Estimate","1,171","911"
"Census Tract 5192; Wayne County; Michigan","",""
"    Estimate","1,487","1,238"
"Census Tract 5193; Wayne County; Michigan","",""
"    Estimate","1,412","988"
"Census Tract 5202; Wayne County; Michigan","",""
"    Estimate","2,745","606"
"Census Tract 5203; Wayne County; Michigan","",""
"    Estimate","2,579","891"
"Census Tract 5204; Wayne County; Michigan","",""
"    Estimate","1,629","1,028"
"Census Tract 5207; Wayne County; Michigan","",""
"    Estimate","2,963","1,142"
"Census Tract 5208; Wayne County; Michigan","",""
"    Estimate","1,423","753"
"Census Tract 5211; Wayne County; Michigan","",""
"    Estimate","1,760","291"
"Census Tract 5214; Wayne County; Michigan","",""
"    Estimate","1,363","439"
"Census Tract 5215; Wayne County; Michigan","",""
"    Estimate","1,157","705"
"Census Tract 5218; Wayne County; Michigan","",""
"    Estimate","1,739","1,679"
"Census Tract 5219; Wayne County; Michigan","",""
"    Estimate","2,924","1,232"
"Census Tract 5220; Wayne County; Michigan","",""
"    Estimate","1,620","1,586"
"Census Tract 5223; Wayne County; Michigan","",""
"    Estimate","1,141","1,045"
"Census Tract 5224; Wayne County; Michigan","",""
"    Estimate","848","632"
"Census Tract 5225; Wayne County; Michigan","",""
"    Estimate","1,678","1,228"
"Census Tract 5228; Wayne County; Michigan","",""
"    Estimate","1,179","857"
"Census Tract 5231; Wayne County; Michigan","",""
"    Estimate","1,341","140"
"Census Tract 5232; Wayne County; Michigan","",""
"    Estimate","2,931","0"
"Census Tract 5233; Wayne County; Michigan","",""
"    Estimate","3,074","228"
"Census Tract 5234; Wayne County; Michigan","",""
"    Estimate","2,302","918"
"Census Tract 5238; Wayne County; Michigan","",""
"    Estimate","4,447","139"
"Census Tract 5240.01; Wayne County; Michigan","",""
"    Estimate","2,695","164"
"Census Tract 5241.01; Wayne County; Michigan","",""
"    Estimate","4,131","393"
"Census Tract 5242; Wayne County; Michigan","",""
"    Estimate","4,546","175"
"Census Tract 5243; Wayne County; Michigan","",""
"    Estimate","2,328","45"
"Census Tract 5245; Wayne County; Michigan","",""
"    Estimate","32","0"
"Census Tract 5246; Wayne County; Michigan","",""
"    Estimate","1,265","210"
"Census Tract 5247; Wayne County; Michigan","",""
"    Estimate","3,620","3,278"
"Census Tract 5248; Wayne County; Michigan","",""
"    Estimate","2,785","1,782"
"Census Tract 5254; Wayne County; Michigan","",""
