"Label (Grouping)","Total:","Total:!!Black or African American alone"
"Census Tract 2314; Macomb County; Michigan","",""
"    Estimate","5,535","229"
"Census Tract 2315; Macomb County; Michigan","",""
"    Estimate","5,284","69"
"Census Tract 2316; Macomb County; Michigan","",""
"    Estimate","5,256","398"
"Census Tract 2317; Macomb County; Michigan","",""
"    Estimate","6,119","255"
"Census Tract 2318; Macomb County; Michigan","",""
"    Estimate","4,654","213"
"Census Tract 2319; Macomb County; Michigan","",""
"    Estimate","6,240","201"
"Census Tract 2320; Macomb County; Michigan","",""
"    Estimate","2,374","371"
"Census Tract 2321; Macomb County; Michigan","",""
"    Estimate","6,450","847"
"Census Tract 2322; Macomb County; Michigan","",""
"    Estimate","5,307","931"
"Census Tract 2323.01; Macomb County; Michigan","",""
"    Estimate","4,818","476"
"Census Tract 2324; Macomb County; Michigan","",""
"    Estimate","5,504","386"
"Census Tract 2325; Macomb County; Michigan","",""
"    Estimate","4,663","624"
"Census Tract 2330; Macomb County; Michigan","",""
"    Estimate","5,705","154"
"Census Tract 2400; Macomb County; Michigan","",""
"    Estimate","4,266","1,280"
"Census Tract 2403; Macomb County; Michigan","",""
"    Estimate","3,874","149"
"Census Tract 2404; Macomb County; Michigan","",""
"    Estimate","5,349","353"
"Census Tract 2405; Macomb County; Michigan","",""
"    Estimate","2,762","313"
"Census Tract 2406.01; Macomb County; Michigan","",""
"    Estimate","3,562","603"
"Census Tract 2406.02; Macomb County; Michigan","",""
"    Estimate","3,084","24"
"Census Tract 2407; Macomb County; Michigan","",""
"    Estimate","4,351","323"
"Census Tract 2408.01; Macomb County; Michigan","",""
"    Estimate","1,450","7"
"Census Tract 2408.02; Macomb County; Michigan","",""
"    Estimate","4,864","1,172"
"Census Tract 2409; Macomb County; Michigan","",""
"    Estimate","2,012","162"
"Census Tract 2410; Macomb County; Michigan","",""
"    Estimate","4,594","1,630"
"Census Tract 2412; Macomb County; Michigan","",""
"    Estimate","4,789","555"
"Census Tract 2413; Macomb County; Michigan","",""
"    Estimate","2,432","502"
"Census Tract 2414; Macomb County; Michigan","",""
"    Estimate","3,218","140"
"Census Tract 2415; Macomb County; Michigan","",""
"    Estimate","3,537","812"
"Census Tract 2416; Macomb County; Michigan","",""
"    Estimate","2,767","1,074"
"Census Tract 2417; Macomb County; Michigan","",""
"    Estimate","4,699","658"
"Census Tract 2418; Macomb County; Michigan","",""
"    Estimate","5,005","1,414"
"Census Tract 2419; Macomb County; Michigan","",""
"    Estimate","4,878","1,182"
"Census Tract 2420.01; Macomb County; Michigan","",""
"    Estimate","1,277","355"
"Census Tract 2420.02; Macomb County; Michigan","",""
"    Estimate","1,661","232"
"Census Tract 2420.03; Macomb County; Michigan","",""
"    Estimate","2,525","862"
"Census Tract 2421; Macomb County; Michigan","",""
"    Estimate","2,259","751"
"Census Tract 2425; Macomb County; Michigan","",""
"    Estimate","7,120","655"
"Census Tract 2430; Macomb County; Michigan","",""
"    Estimate","4,387","365"
"Census Tract 2435.01; Macomb County; Michigan","",""
"    Estimate","2,335","51"
"Census Tract 2435.02; Macomb County; Michigan","",""
"    Estimate","4,366","966"
"Census Tract 2440; Macomb County; Michigan","",""
"    Estimate","2,507","142"
"Census Tract 2450; Macomb County; Michigan","",""
"    Estimate","3,156","980"
"Census Tract 2451; Macomb County; Michigan","",""
"    Estimate","4,047","633"
"Census Tract 2452; Macomb County; Michigan","",""
"    Estimate","2,580","685"
"Census Tract 2453; Macomb County; Michigan","",""
"    Estimate","4,358","638"
"Census Tract 2454; Macomb County; Michigan","",""
"    Estimate","1,426","601"
"Census Tract 2471; Macomb County; Michigan","",""
"    Estimate","731","0"
"Census Tract 2472.01; Macomb County; Michigan","",""
"    Estimate","3,605","190"
"Census Tract 2472.02; Macomb County; Michigan","",""
"    Estimate","3,229","133"
"Census Tract 2473.01; Macomb County; Michigan","",""
"    Estimate","3,843","273"
"Census Tract 2473.02; Macomb County; Michigan","",""
"    Estimate","2,141","0"
"Census Tract 2474; Macomb County; Michigan","",""
"    Estimate","2,300","17"
"Census Tract 2475; Macomb County; Michigan","",""
"    Estimate","1,879","309"
"Census Tract 2476.01; Macomb County; Michigan","",""
"    Estimate","1,759","737"
"Census Tract 2476.02; Macomb County; Michigan","",""
"    Estimate","4,622","622"
"Census Tract 2500; Macomb County; Michigan","",""
"    Estimate","2,255","44"
"Census Tract 2501; Macomb County; Michigan","",""
"    Estimate","2,160","246"
"Census Tract 2502; Macomb County; Michigan","",""
"    Estimate","2,702","52"
"Census Tract 2503; Macomb County; Michigan","",""
"    Estimate","3,173","81"
"Census Tract 2504; Macomb County; Michigan","",""
"    Estimate","1,342","165"
"Census Tract 2505; Macomb County; Michigan","",""
"    Estimate","1,987","38"
"Census Tract 2506; Macomb County; Michigan","",""
"    Estimate","2,840","30"
"Census Tract 2507; Macomb County; Michigan","",""
"    Estimate","2,856","73"
"Census Tract 2508; Macomb County; Michigan","",""
"    Estimate","2,776","147"
"Census Tract 2509; Macomb County; Michigan","",""
"    Estimate","2,371","15"
"Census Tract 2510; Macomb County; Michigan","",""
"    Estimate","1,662","33"
"Census Tract 2511; Macomb County; Michigan","",""
"    Estimate","1,959","6"
"Census Tract 2512; Macomb County; Michigan","",""
"    Estimate","3,251","64"
"Census Tract 2513; Macomb County; Michigan","",""
"    Estimate","2,151","16"
"Census Tract 2514; Macomb County; Michigan","",""
"    Estimate","3,134","212"
"Census Tract 2515; Macomb County; Michigan","",""
"    Estimate","1,888","78"
"Census Tract 2516; Macomb County; Michigan","",""
"    Estimate","2,970","113"
"Census Tract 2517; Macomb County; Michigan","",""
"    Estimate","2,691","168"
"Census Tract 2518; Macomb County; Michigan","",""
"    Estimate","3,848","848"
"Census Tract 2519; Macomb County; Michigan","",""
"    Estimate","2,905","80"
"Census Tract 2520; Macomb County; Michigan","",""
"    Estimate","2,502","110"
"Census Tract 2521; Macomb County; Michigan","",""
"    Estimate","2,300","132"
"Census Tract 2522; Macomb County; Michigan","",""
"    Estimate","2,646","155"
"Census Tract 2540; Macomb County; Michigan","",""
"    Estimate","1,634","5"
"Census Tract 2541; Macomb County; Michigan","",""
"    Estimate","4,431","548"
"Census Tract 2542; Macomb County; Michigan","",""
"    Estimate","4,331","256"
"Census Tract 2545; Macomb County; Michigan","",""
"    Estimate","4,208","528"
"Census Tract 2550; Macomb County; Michigan","",""
"    Estimate","4,468","1,440"
"Census Tract 2551; Macomb County; Michigan","",""
"    Estimate","3,153","537"
"Census Tract 2552; Macomb County; Michigan","",""
"    Estimate","3,812","1,971"
"Census Tract 2553; Macomb County; Michigan","",""
"    Estimate","3,867","813"
"Census Tract 2554; Macomb County; Michigan","",""
"    Estimate","2,497","169"
"Census Tract 2555; Macomb County; Michigan","",""
"    Estimate","1,395","382"
"Census Tract 2556; Macomb County; Michigan","",""
"    Estimate","3,068","185"
"Census Tract 2557; Macomb County; Michigan","",""
"    Estimate","1,826","412"
"Census Tract 2558; Macomb County; Michigan","",""
"    Estimate","2,544","400"
"Census Tract 2559; Macomb County; Michigan","",""
"    Estimate","2,032","267"
"Census Tract 2560; Macomb County; Michigan","",""
"    Estimate","2,379","530"
"Census Tract 2561; Macomb County; Michigan","",""
